DisplayOrder,DORA_Chapter,DORA_Section,DORA_URL,DORA_Article_Index,DORA_Title,Article Applicable,RTS_Title,RTS_Chapter,RTS_Section,RTS_URL,RTS_Article_Index,RTS_Article_Title,RTS Applicable
73.00,chapter V - Managing of ICT third-party risk,section II - Oversight Framework of critical ICT third-party service providers,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_38,Article 38,General investigations,N,,,,,,,
74.00,chapter V - Managing of ICT third-party risk,section II - Oversight Framework of critical ICT third-party service providers,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_39,Article 39,Inspections,N,,,,,,,
75.00,chapter V - Managing of ICT third-party risk,section II - Oversight Framework of critical ICT third-party service providers,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_40,Article 40,Ongoing oversight,N,,,,,,,
76.00,chapter V - Managing of ICT third-party risk,section II - Oversight Framework of critical ICT third-party service providers,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_41,Article 41,Harmonisation of conditions enabling the conduct of the oversight activities,N,,,,,,,
77.00,chapter V - Managing of ICT third-party risk,section II - Oversight Framework of critical ICT third-party service providers,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_42,Article 42,Follow-up by competent authorities,N,,,,,,,
78.00,chapter V - Managing of ICT third-party risk,section II - Oversight Framework of critical ICT third-party service providers,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_43,Article 43,Oversight fees,N,,,,,,,
79.00,chapter V - Managing of ICT third-party risk,section II - Oversight Framework of critical ICT third-party service providers,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_44,Article 44,International cooperation,N,,,,,,,
80.00,chapter VI - Information-sharing arrangements,,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_45,article 45,Information-sharing arrangements on cyber threat information and intelligence,N,,,,,,,
81.00,"CHAPTER VII, Competent authorities",,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_46,Article 46,Competent authorities,N,,,,,,,
82.00,"CHAPTER VII, Competent authorities",,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_47,Article 47,Cooperation with structures and authorities established by Directive (EU) 2022/2555,N,,,,,,,
83.00,"CHAPTER VII, Competent authorities",,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_48,Article 48,Cooperation between authorities,N,,,,,,,
84.00,"CHAPTER VII, Competent authorities",,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_49,Article 49,Financial cross-sector exercises,N,,,,,,,
85.00,"CHAPTER VII, Competent authorities",,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_50,Article 50,Administrative penalties and remedial measures,N,,,,,,,
86.00,"CHAPTER VII, Competent authorities",,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_51,Article 51,Exercise of the power to impose administrative penalties and remedial measures,N,,,,,,,
87.00,"CHAPTER VII, Competent authorities",,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_52,Article 52,Criminal penalties,N,,,,,,,
88.00,"CHAPTER VII, Competent authorities",,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_53,Article 53,Notification duties,N,,,,,,,
89.00,"CHAPTER VII, Competent authorities",,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_54,Article 54,Publication of administrative penalties,N,,,,,,,
90.00,"CHAPTER VII, Competent authorities",,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_55,Article 55,Professional secrecy,N,,,,,,,
91.00,"CHAPTER VII, Competent authorities",,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_56,Article 56,Data Protection,N,,,,,,,
92.00,"CHAPTER VIII, Delegated acts",,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_57,Article 57,Exercise of the delegation,N,,,,,,,
93.00,"CHAPTER IX, Transitional and final provisions",Section I,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_58,Article 58,Review clause,N,,,,,,,
94.00,"CHAPTER IX, Transitional and final provisions","Section II, Amendments",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_59,Article 59,Amendments to Regulation (EC) No 1060/2009,N,,,,,,,
95.00,"CHAPTER IX, Transitional and final provisions","Section II, Amendments",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_60,Article 60,Amendments to Regulation (EU) No 648/2012,N,,,,,,,
96.00,"CHAPTER IX, Transitional and final provisions","Section II, Amendments",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_61,Article 61,Amendments to Regulation (EU) No 909/2014,N,,,,,,,
97.00,"CHAPTER IX, Transitional and final provisions","Section II, Amendments",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_62,Article 62,Amendments to Regulation (EU) No 600/2014,N,,,,,,,
98.00,"CHAPTER IX, Transitional and final provisions","Section II, Amendments",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_63,Article 63,Amendment to Regulation (EU) 2016/1011,N,,,,,,,
99.00,"CHAPTER IX, Transitional and final provisions","Section II, Amendments",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2554#art_64,Article 64,Entry into force and application,N,,,,,,,
